song,artist,date_used
Kamusta Ka,Gary Valenciano,2026-06-10
Be My Lady,Martin Nievera,2026-06-10
Pag-ibig (Moonstar88),Moonstar88,2026-06-11
Bumalik Ka Na,Kitchie Nadal,2026-06-12
Nasa Iyo Na Ang Lahat,Ariel Rivera,2026-06-13
Magmahal Kahit Sa Panaginip,Jireh Lim,2026-06-14
Noypi,Bamboo,2026-06-15
Sa'yo,TJ Monterde,2026-06-16
Masarap Na Buhay,various,2026-06-17
Pag-ibig Na Ito,Lola Amour,2026-06-18
Bukas At Kailanman,various,2026-06-19
Nandito Ako,Ogie Alcasid,2026-06-20
Pangarap Na Bituin,Regine Velasquez,2026-06-21
Kung Malaya Lang Ako,MYMP,2026-06-22
Nandoon Ka,various,2026-06-23
Masayang Mag-isa,Hale,2026-06-24
Palagi,TJ Monterde,2026-06-25
